,0,1,2,3,4,5
0,09:30:00,585.04,585.57,585.01,585.19,579727
1,09:31:00,585.21,585.31,584.69,585.15,295291
2,09:32:00,585.13,585.16,584.78,584.78,215831
3,09:33:00,584.8,585.17,584.8,585.04,147187
4,09:34:00,585.05,585.06,584.81,584.87,121067
5,09:35:00,584.88,584.88,584.5,584.57,162867
6,09:36:00,584.55,584.81,584.25,584.46,305358
7,09:37:00,584.5,584.71,584.3,584.35,176565
8,09:38:00,584.35,584.42,584.1,584.2,213729
9,09:39:00,584.2,584.44,584.15,584.35,93217
10,09:40:00,584.36,584.49,584.21,584.38,142252
11,09:41:00,584.37,584.59,584.3,584.47,112860
12,09:42:00,584.47,584.58,584.37,584.57,109276
13,09:43:00,584.59,584.67,584.46,584.52,131033
14,09:44:00,584.53,584.85,584.52,584.76,115150
15,09:45:00,584.76,584.88,584.69,584.84,153297
16,09:46:00,584.83,584.98,584.78,584.83,101126
17,09:47:00,584.83,584.99,584.7,584.81,128086
18,09:48:00,584.83,584.86,584.53,584.6,100375
19,09:49:00,584.6,584.82,584.6,584.69,90176
20,09:50:00,584.67,584.83,584.44,584.82,89474
21,09:51:00,584.81,584.86,584.58,584.59,92664
22,09:52:00,584.62,584.71,584.45,584.61,93315
23,09:53:00,584.61,584.78,584.56,584.73,79274
24,09:54:00,584.72,584.77,584.64,584.67,54273
25,09:55:00,584.67,585.11,584.66,585.08,151833
26,09:56:00,585.09,585.22,585,585.1,109332
27,09:57:00,585.1,585.24,585.03,585.05,113141
28,09:58:00,585.04,585.08,584.91,584.91,70765
29,09:59:00,584.91,585.2,584.88,585.14,97154
30,10:00:00,585.14,585.19,584.76,585.07,131535
31,10:01:00,585.09,585.2,584.94,585.09,74383
32,10:02:00,585.09,585.18,584.98,585.13,66304
33,10:03:00,585.13,585.36,585.11,585.2,169132
34,10:04:00,585.19,585.36,585.18,585.23,73027
35,10:05:00,585.22,585.33,585.2,585.29,69507
36,10:06:00,585.29,585.3,585.15,585.24,78821
37,10:07:00,585.23,585.4,585.21,585.29,76763
38,10:08:00,585.28,585.34,585.18,585.31,69441
39,10:09:00,585.3,585.44,585.3,585.42,111776
40,10:10:00,585.42,585.49,585.21,585.37,106940
41,10:11:00,585.36,585.44,585.23,585.24,61841
42,10:12:00,585.23,585.24,584.99,585.01,94364
43,10:13:00,585.01,585.03,584.75,584.8,95755
44,10:14:00,584.81,584.96,584.74,584.8,104872
45,10:15:00,584.79,584.95,584.69,584.84,84893
46,10:16:00,584.83,585.07,584.81,584.92,77033
47,10:17:00,584.89,585.32,584.86,585.25,95368
48,10:18:00,585.25,585.25,585.13,585.2,104020
49,10:19:00,585.21,585.38,585.14,585.34,74342
50,10:20:00,585.34,585.44,585.27,585.35,73785
51,10:21:00,585.35,585.76,585.35,585.68,166765
52,10:22:00,585.7,585.81,585.56,585.69,151912
53,10:23:00,585.68,585.72,585.59,585.69,67347
54,10:24:00,585.7,585.8,585.67,585.77,72383
55,10:25:00,585.76,585.87,585.73,585.82,115550
56,10:26:00,585.81,585.88,585.79,585.82,79743
57,10:27:00,585.82,585.84,585.64,585.68,101427
58,10:28:00,585.68,585.79,585.65,585.66,66134
59,10:29:00,585.66,585.77,585.65,585.75,79866
60,10:30:00,585.76,585.85,585.66,585.69,86215
61,10:31:00,585.69,585.73,585.6,585.67,82327
