,SECUCODE,SECURITY_CODE,TYPE,SECURITY_NAME_ABBR,CLOSE_PRICE,INDUSTRY,REGION,WEIGHT,EPS,BPS,ROE,TOTAL_SHARES,FREE_SHARES,FREE_CAP,f2,f3
0,688981.SH,688981,1,中芯国际,108.66,电子设备,境外,0.9,0.29,18.8847,1.5,79.88,19.88,2160.55,108.66,0.22
1,688599.SH,688599,1,天合光能,17.11,电气设备,常州市,0.09,-1.34,10.428,-11.66,21.79,21.79,372.89,17.11,0.18
2,688506.SH,688506,1,百利天恒,353.89,医药生物,成都市,0.12,-2.79,6.9798,-33.6,4.01,1.03,364.12,353.89,1.17
3,688472.SH,688472,1,阿特斯,12.28,电子设备,苏州市,0.07,0.2,6.3202,3.16,36.88,13.93,171.03,12.28,1.4
4,688396.SH,688396,1,华润微,49.4,电子设备,境外,0.11,0.2556,17.1042,1.5,13.28,13.28,655.8,49.4,0.28
5,688303.SH,688303,1,大全能源,30.11,电气设备,石河子市,0.08,-0.53,18.1865,-2.9,21.45,21.45,645.92,30.11,-1.28
6,688271.SH,688271,1,联影医疗,152.0,医药生物,上海市,0.31,1.21,25.2304,4.9,8.24,8.24,1252.72,152.0,0.6
7,688256.SH,688256,1,寒武纪,1440.0,电子设备,北京市,1.29,2.5,16.1477,17.31,4.18,4.18,6024.24,1440.0,-3.23
8,688223.SH,688223,1,晶科能源,5.5,电气设备,上饶市,0.09,-0.29,2.8328,-9.43,100.05,100.05,550.29,5.5,-3.34
9,688187.SH,688187,1,时代电气,48.65,交运设备,株洲市,0.05,1.21,29.9368,4.14,13.58,8.69,422.72,48.65,-0.75
10,688169.SH,688169,1,石头科技,202.68,机械设备,北京市,0.17,2.63,51.6842,5.14,2.59,2.59,525.16,202.68,2.88
11,688126.SH,688126,1,沪硅产业,21.0,电子设备,上海市,0.14,-0.133,4.2668,-3.05,27.47,27.32,573.65,21.0,-0.57
12,688111.SH,688111,1,金山办公,305.6,信息技术,北京市,0.3,1.62,25.1228,6.35,4.63,4.63,1415.48,305.6,-0.25
13,688082.SH,688082,1,盛美上海,147.46,电子设备,上海市,0.05,1.58,18.6728,8.62,4.41,4.36,643.08,147.46,-1.03
14,688047.SH,688047,1,龙芯中科,130.2,信息技术,北京市,0.09,-0.74,6.6192,-10.53,4.01,4.01,522.1,130.2,0.15
15,688041.SH,688041,1,海光信息,231.5,电子设备,天津市,0.85,0.52,9.0824,5.75,23.24,23.24,5380.84,231.5,5.22
16,688036.SH,688036,1,传音控股,88.8,电子设备,深圳市,0.16,1.06,17.3835,5.89,11.4,11.4,1012.63,88.8,2.83
17,688012.SH,688012,1,中微公司,215.1,电子设备,上海市,0.38,1.13,33.3305,3.49,6.26,6.26,1346.84,215.1,1.7
18,688009.SH,688009,1,中国通号,5.36,交运设备,北京市,0.06,0.15,4.2818,3.38,105.9,86.21,462.09,5.36,0.19
19,688008.SH,688008,1,澜起科技,117.16,电子设备,上海市,0.56,1.02,10.5818,9.7,11.45,11.45,1341.66,117.16,-0.88
20,605499.SH,605499,1,东鹏饮料,289.5,食品饮料,深圳市,0.26,4.5667,16.7988,28.18,5.2,5.2,1505.44,289.5,-1.8
21,605117.SH,605117,1,德业股份,73.02,家电,宁波市,0.11,1.68,10.3724,15.21,9.04,9.04,660.43,73.02,0.14
22,603993.SH,603993,1,洛阳钼业,13.35,有色金属,洛阳市,0.39,0.41,3.3863,11.7,213.94,174.61,2331.02,13.35,-0.52
23,603986.SH,603986,1,兆易创新,190.94,电子设备,北京市,0.53,0.87,25.9614,3.41,6.66,6.66,1271.66,190.94,0.38
24,603833.SH,603833,1,欧派家居,57.25,轻工制造,广州市,0.04,1.67,29.777,5.21,6.09,6.09,348.74,57.25,-0.62
25,603806.SH,603806,1,福斯特,16.55,电气设备,杭州市,0.07,0.19,6.025,3.02,26.09,26.09,431.75,16.55,0.0
26,603799.SH,603799,1,华友钴业,52.25,有色金属,嘉兴市,0.3,1.61,22.0923,7.05,17.02,16.86,881.12,52.25,-0.1
27,603501.SH,603501,1,豪威集团,138.56,电子设备,上海市,0.48,1.69,21.3281,8.01,12.06,12.06,1671.05,138.56,1.88
28,603392.SH,603392,1,万泰生物,59.07,医药生物,北京市,0.09,-0.11,9.5791,-1.18,12.65,12.65,747.31,59.07,-1.63
29,603369.SH,603369,1,今世缘,41.93,食品饮料,淮安市,0.13,1.7875,12.9831,13.45,12.47,12.47,522.78,41.93,-1.22
30,603296.SH,603296,1,华勤技术,89.85,电子设备,上海市,0.12,1.86,23.2267,8.08,10.16,5.72,513.6,89.85,-5.0
31,603288.SH,603288,1,海天味业,40.84,食品饮料,佛山市,0.28,0.7,6.7106,12.22,58.52,55.61,2270.95,40.84,0.47
32,603260.SH,603260,1,合盛硅业,52.28,有色金属,嘉兴市,0.08,-0.34,27.4635,-1.22,11.82,11.82,618.06,52.28,-0.78
33,603259.SH,603259,1,药明康德,107.0,医药生物,无锡市,1.1,3.01,20.859,13.93,29.52,24.73,2646.41,107.0,1.45
34,603195.SH,603195,1,公牛集团,46.4,电气设备,宁波市,0.05,1.14,8.1285,12.19,18.09,18.01,835.54,46.4,-0.19
35,603019.SH,603019,1,中科曙光,102.46,信息技术,天津市,0.6,0.5,14.2258,3.52,14.63,14.63,1498.69,102.46,4.58
36,601998.SH,601998,1,中信银行,7.75,金融,北京市,0.17,0.62,12.75,4.89,556.45,407.63,3159.13,7.75,-0.77
37,601995.SH,601995,1,中金公司,36.86,金融,北京市,0.18,0.81,19.8628,4.16,48.27,29.24,1077.62,36.86,-0.08
38,601988.SH,601988,1,中国银行,5.46,金融,北京市,0.33,0.36,8.1861,4.56,3222.12,2107.66,11507.8,5.46,-0.36
39,601985.SH,601985,1,中国核电,8.83,公用事业,北京市,0.3,0.275,5.5071,5.07,205.68,188.83,1667.39,8.83,0.34
40,601939.SH,601939,1,建设银行,9.04,金融,北京市,0.32,0.65,12.86,5.04,2616.0,95.94,867.27,9.04,-0.88
41,601919.SH,601919,1,中远海控,14.95,交通运输,天津市,0.39,1.12,14.9817,7.35,154.9,126.1,1885.19,14.95,-0.4
42,601916.SH,601916,1,浙商银行,3.07,金融,杭州市,0.19,0.28,6.38,4.34,274.65,215.44,661.41,3.07,-0.65
43,601901.SH,601901,1,方正证券,8.32,金融,长沙市,0.14,0.29,6.06,4.84,82.32,82.32,684.91,8.32,-0.95
44,601899.SH,601899,1,紫金矿业,25.5,有色金属,龙岩市,1.76,0.877,5.2852,16.11,265.78,205.88,5249.92,25.5,-0.58
45,601898.SH,601898,1,中煤能源,11.3,化石能源,北京市,0.08,0.58,11.7443,4.95,132.59,91.52,1034.18,11.3,1.62
46,601888.SH,601888,1,中国中免,69.94,商贸零售,北京市,0.29,1.2566,26.6807,4.65,20.69,19.52,1365.56,69.94,-0.65
47,601881.SH,601881,1,中国银河,17.2,金融,北京市,0.16,0.54,10.4539,5.16,109.34,72.43,1245.87,17.2,0.06
48,601878.SH,601878,1,浙商证券,11.72,金融,杭州市,0.13,0.25,7.8588,3.21,45.74,45.74,536.05,11.72,-0.34
49,601877.SH,601877,1,正泰电器,27.78,电气设备,温州市,0.12,1.19,19.957,5.91,21.49,21.49,596.98,27.78,-0.47
50,601872.SH,601872,1,招商轮船,8.97,交通运输,上海市,0.11,0.26,5.0109,5.28,80.75,80.75,724.29,8.97,7.17
51,601868.SH,601868,1,中国能建,2.44,建筑,北京市,0.13,0.06,2.6142,2.41,416.91,324.29,791.26,2.44,0.41
52,601865.SH,601865,1,福莱特,18.51,电气设备,嘉兴市,0.06,0.11,9.1199,1.2,23.43,19.01,351.88,18.51,0.05
53,601857.SH,601857,1,中国石油,8.77,化石能源,北京市,0.41,0.46,8.5012,5.4,1830.21,1619.22,14200.57,8.77,0.92
54,601838.SH,601838,1,成都银行,18.07,金融,成都市,0.19,1.57,19.47,7.94,42.38,42.31,764.55,18.07,-0.93
55,601825.SH,601825,1,沪农商行,8.56,金融,上海市,0.21,0.73,13.15,5.56,96.44,93.74,802.45,8.56,-1.38
56,601818.SH,601818,1,光大银行,3.61,金融,北京市,0.28,0.38,8.2868,4.57,590.86,464.07,1675.29,3.61,-0.55
57,601816.SH,601816,1,京沪高铁,5.25,交通运输,北京市,0.64,0.1289,4.134,3.09,489.26,489.26,2568.6,5.25,-0.57
58,601808.SH,601808,1,中海油服,13.84,化石能源,天津市,0.03,0.41,9.3682,4.4,47.72,29.6,409.73,13.84,0.07
59,601800.SH,601800,1,中国交建,8.94,建筑,北京市,0.13,0.56,17.8879,3.22,162.79,117.78,1052.99,8.94,-0.33
60,601799.SH,601799,1,星宇股份,123.88,交运设备,常州市,0.07,2.4895,37.2331,6.79,2.86,2.86,353.9,123.88,1.55
61,601788.SH,601788,1,光大证券,19.04,金融,上海市,0.16,0.32,12.936,2.5,46.11,39.07,743.84,19.04,-0.99
62,601766.SH,601766,1,中国中车,7.68,交运设备,北京市,0.39,0.25,5.9214,4.2,286.99,243.28,1868.37,7.68,-0.65
63,601728.SH,601728,1,中国电信,7.13,信息技术,北京市,0.47,0.25,5.102,5.0,915.07,776.3,5535.0,7.13,-1.38
64,601699.SH,601699,1,潞安环能,13.74,化石能源,长治市,0.07,0.45,15.5285,2.88,29.91,29.91,411.02,13.74,3.54
65,601698.SH,601698,1,中国卫通,21.54,信息技术,北京市,0.08,0.0427,3.729,1.15,42.24,42.24,909.93,21.54,-2.53
66,601689.SH,601689,1,拓普集团,71.68,交运设备,宁波市,0.24,0.75,12.9915,6.02,17.38,17.38,1245.68,71.68,6.75
67,601688.SH,601688,1,华泰证券,20.56,金融,南京市,0.44,0.8,18.481,4.3,90.27,73.07,1502.27,20.56,-1.06
68,601669.SH,601669,1,中国电建,5.76,建筑,北京市,0.2,0.2924,8.3543,3.57,172.26,130.72,752.92,5.76,1.05
69,601668.SH,601668,1,中国建筑,5.57,建筑,北京市,0.48,0.73,11.47,6.44,413.2,413.2,2301.55,5.57,0.0
70,601658.SH,601658,1,邮储银行,6.22,金融,北京市,0.29,0.43,8.23,5.46,1200.95,671.22,4175.01,6.22,-0.32
71,601633.SH,601633,1,长城汽车,25.09,交运设备,保定市,0.13,0.74,9.8277,7.56,85.59,62.09,1557.9,25.09,-0.16
72,601628.SH,601628,1,中国人寿,38.89,金融,北京市,0.27,1.45,18.53,7.83,282.65,208.24,8098.27,38.89,-0.84
73,601618.SH,601618,1,中国中冶,3.48,建筑,北京市,0.1,0.09,4.9957,1.72,207.24,178.53,621.27,3.48,0.0
74,601607.SH,601607,1,上海医药,18.13,医药生物,上海市,0.06,1.2,20.2504,6.03,37.08,27.89,505.68,18.13,0.67
75,601601.SH,601601,1,中国太保,37.0,金融,上海市,0.53,2.9,29.3,9.6,96.2,68.45,2532.67,37.0,-0.86
76,601600.SH,601600,1,中国铝业,8.07,有色金属,北京市,0.27,0.413,4.1761,9.89,171.56,131.66,1062.47,8.07,0.37
77,601398.SH,601398,1,工商银行,7.43,金融,北京市,1.09,0.46,10.52,4.41,3564.06,2696.12,20032.19,7.43,-0.67
78,601390.SH,601390,1,中国中铁,5.61,建筑,北京市,0.24,0.412,12.5485,3.28,247.41,204.75,1148.64,5.61,0.18
79,601377.SH,601377,1,兴业证券,6.45,金融,福州市,0.19,0.15,6.389,2.31,86.36,86.36,557.02,6.45,0.0
80,601360.SH,601360,1,三六零,10.84,信息技术,天津市,0.16,-0.04,4.2234,-0.94,70.0,70.0,758.75,10.84,-0.37
81,601336.SH,601336,1,新华保险,62.19,金融,北京市,0.22,4.74,26.73,15.93,31.2,20.85,1296.93,62.19,-2.05
82,601328.SH,601328,1,交通银行,7.1,金融,上海市,0.79,0.59,12.6657,4.58,883.64,260.72,1851.14,7.1,-0.42
83,601319.SH,601319,1,中国人保,8.15,金融,北京市,0.11,0.6,6.447,9.5,442.24,354.98,2893.07,8.15,-0.97
84,601318.SH,601318,1,中国平安,57.33,金融,深圳市,2.58,3.87,51.84,7.2,181.08,106.6,6111.42,57.33,-0.61
85,601298.SH,601298,1,青岛港,8.52,交通运输,青岛市,0.02,0.44,6.7822,6.47,64.91,53.92,459.4,8.52,0.71
86,601288.SH,601288,1,农业银行,7.16,金融,北京市,0.96,0.37,7.65,5.08,3499.83,3192.44,22857.89,7.16,-1.1
87,601238.SH,601238,1,广汽集团,7.81,交运设备,广州市,0.07,-0.25,10.913,-2.25,101.97,73.84,576.67,7.81,1.03
88,601236.SH,601236,1,红塔证券,8.95,金融,昆明市,0.05,0.14,5.3422,2.69,47.17,47.17,422.15,8.95,-0.11
89,601229.SH,601229,1,上海银行,9.27,金融,上海市,0.39,0.93,17.14,5.5,142.09,142.09,1317.17,9.27,-0.43
90,601225.SH,601225,1,陕西煤业,20.39,化石能源,西安市,0.33,0.79,9.1762,8.02,96.95,96.95,1976.81,20.39,0.79
91,601211.SH,601211,1,国泰海通,19.52,金融,上海市,0.92,1.11,17.77,6.25,176.29,134.94,2634.03,19.52,-0.15
92,601186.SH,601186,1,中国铁建,8.02,建筑,北京市,0.15,0.7,19.8223,3.55,135.8,115.03,922.56,8.02,0.0
93,601169.SH,601169,1,北京银行,5.88,金融,北京市,0.37,0.69,13.02,5.32,211.43,211.43,1243.21,5.88,-1.18
94,601166.SH,601166,1,兴业银行,21.07,金融,福州市,1.48,1.91,37.48,5.06,211.63,211.63,4459.01,21.07,-1.63
