,f3,f12,f14,f62
0,0.96,BK0984,华为汽车,2122012160.0
1,0.58,BK1155,小米汽车,1929178880.0
2,1.4,BK0509,网络游戏,1677016576.0
3,0.94,BK1145,机器人执行器,1653457152.0
4,0.49,BK0580,LED,1430588160.0
5,2.19,BK0853,电子竞技,1221283040.0
6,0.5,BK0801,增强现实,944709376.0
7,2.11,BK0899,CRO,866749712.0
8,0.76,BK1149,星闪概念,827989712.0
9,0.06,BK0951,刀片电池,770743936.0
10,0.94,BK1100,减速器,766818816.0
11,0.35,BK1089,汽车热管理,757919744.0
12,0.6,BK0656,智能电视,740036528.0
13,1.21,BK0924,地摊经济,714128384.0
14,0.28,BK1141,混合现实,697853184.0
15,0.68,BK1048,IGBT概念,522207488.0
16,2.5,BK0882,猪肉概念,516284320.0
17,1.25,BK1025,预制菜概念,473449952.0
18,1.0,BK1092,麒麟电池,460061440.0
19,0.87,BK1093,汽车一体化压铸,444115408.0
20,0.56,BK1009,元宇宙概念,289267968.0
21,1.9,BK0887,鸡肉概念,285475712.0
22,1.22,BK0807,共享经济,282660864.0
23,0.57,BK0965,社区团购,278506192.0
24,1.28,BK1151,短剧互动游戏,230628192.0
25,0.62,BK0492,煤化工,188380912.0
26,-0.62,BK0961,有机硅,170771856.0
27,-0.01,BK0872,青蒿素,170739504.0
28,1.69,BK0894,阿兹海默,170484400.0
29,1.32,BK1002,激光雷达,169338368.0
30,-0.1,BK1003,抽水蓄能,153649504.0
31,0.49,BK1183,谷子经济,134216880.0
32,1.51,BK0674,蓝宝石,130855168.0
33,0.34,BK1142,裸眼3D,125718000.0
34,0.44,BK0986,CAR-T细胞疗法,113470704.0
35,0.4,BK1007,植物照明,110976912.0
36,0.66,BK1103,熔盐储能,92806453.0
37,0.25,BK0997,NFT概念,84731728.0
38,1.31,BK0907,转基因,84270032.0
39,1.62,BK1000,宁组合,76193024.0
40,0.48,BK0977,碳化硅,59039232.0
41,0.56,BK1086,粮食概念,55486656.0
42,0.14,BK1119,PLC概念,42409184.0
43,0.64,BK1179,房屋检测,38851296.0
44,0.38,BK1065,气溶胶检测,28410592.0
45,0.5,BK0960,无线充电,16772352.0
46,0.58,BK1099,轮毂电机,15093865.0
47,0.13,BK1098,生物质能发电,4422987.0
48,0.62,BK1078,肝炎概念,-2736448.0
49,-0.56,BK1082,噪声防治,-3092971.0
50,-0.77,BK0950,草甘膦,-10128194.0
51,0.61,BK0936,长寿药,-13629735.0
52,-0.27,BK0636,B股,-14290695.0
53,-0.38,BK0944,肝素概念,-15066688.0
54,-0.61,BK1190,虚拟机器人,-27134720.0
55,-0.13,BK0959,数字阅读,-33515936.0
56,-0.96,BK0622,地热能,-40523555.0
57,0.18,BK1057,电子纸概念,-41333120.0
58,0.55,BK0603,页岩气,-41552400.0
59,-0.41,BK0709,赛马概念,-43490255.0
60,-0.22,BK1006,碳基材料,-49389296.0
61,0.44,BK0708,体育产业,-52320320.0
62,0.85,BK0967,水产养殖,-59606416.0
63,-0.62,BK0938,代糖概念,-60444338.0
64,0.39,BK0954,盲盒经济,-60531216.0
65,-0.98,BK0933,退税商店,-64404028.0
66,-0.77,BK0885,VPN,-66584320.0
67,-0.96,BK0818,可燃冰,-72682860.0
68,0.41,BK0943,汽车拆解,-73544704.0
69,0.12,BK0866,人造肉,-78332196.0
70,0.28,BK1144,高压快充,-84552192.0
71,-0.39,BK0566,滨海新区,-85856384.0
72,0.39,BK0949,氦气概念,-87681497.0
73,0.84,BK1146,减肥药,-87851760.0
74,-0.21,BK1026,调味品概念,-96411952.0
75,-0.03,BK1076,建筑节能,-96573136.0
76,-0.41,BK1073,啤酒概念,-97054161.0
77,-0.04,BK0948,MicroLED,-97718832.0
78,-0.49,BK0996,毛发医疗,-98829838.0
79,-0.47,BK1121,第四代半导体,-104416956.0
80,-1.2,BK0685,举牌,-105652752.0
81,0.12,BK0664,婴童概念,-107133088.0
82,-0.04,BK0983,核污染防治,-109164848.0
83,-0.04,BK1077,统一大市场,-109278832.0
84,-0.18,BK0914,医废处理,-110328240.0
85,-0.47,BK1063,重组蛋白,-110959184.0
86,1.82,BK0898,胎压监测,-113113472.0
87,0.08,BK1087,超超临界发电,-117236720.0
88,-0.52,BK1165,娃哈哈概念,-124818944.0
89,-0.63,BK1074,托育服务,-127717307.0
90,-0.4,BK1177,荣耀概念,-127725824.0
91,-0.19,BK0825,新零售,-130613760.0
92,-0.08,BK0892,乳业,-131066896.0
93,0.82,BK1079,户外露营,-132229173.0
94,-1.28,BK1132,MLOps概念,-136199712.0
95,-0.69,BK1109,供销社概念,-137700896.0
96,-0.59,BK0850,进口博览,-144986342.0
97,-0.48,BK1116,抗菌面料,-155425049.0
98,-0.87,BK0890,MLCC,-157009536.0
99,0.08,BK1058,地下管网,-158730944.0
