,f3,f12,f14,f62
0,-0.02,BK0170,重庆板块,256751504.0
1,1.15,BK0163,青海板块,-9335776.0
2,-0.28,BK0166,天津板块,-89939712.0
3,0.2,BK0161,辽宁板块,-109083152.0
4,-0.87,BK0162,宁夏板块,-116073328.0
5,-0.75,BK0154,广西板块,-260922576.0
6,-0.42,BK0146,黑龙江,-315667440.0
7,-0.05,BK0147,新疆板块,-342775856.0
8,-0.53,BK0173,贵州板块,-424730592.0
9,0.0,BK0176,海南板块,-537380416.0
10,0.13,BK0152,甘肃板块,-550185584.0
11,0.24,BK0148,吉林板块,-583029840.0
12,0.32,BK0167,山西板块,-627988288.0
13,0.07,BK0158,湖南板块,-713764352.0
14,-1.1,BK0174,西藏板块,-718731232.0
15,-0.33,BK0171,云南板块,-734032720.0
16,-0.3,BK0155,河北板块,-979973936.0
17,-0.47,BK0165,陕西板块,-1187640032.0
18,-0.89,BK0160,江西板块,-1217652320.0
19,0.02,BK0157,湖北板块,-1414441728.0
20,-0.43,BK0156,河南板块,-1579424256.0
21,-0.45,BK0169,四川板块,-1603225344.0
22,0.15,BK0172,浙江板块,-1884956416.0
23,-0.15,BK0149,安徽板块,-2351339776.0
24,0.68,BK0175,内蒙古,-2385350000.0
25,-0.07,BK0164,山东板块,-2913900032.0
26,-0.23,BK0151,福建板块,-3125666304.0
27,0.04,BK0159,江苏板块,-4886723328.0
28,0.05,BK0145,上海板块,-5942776064.0
29,-0.19,BK0150,北京板块,-11308979712.0
30,-0.01,BK0153,广东板块,-15181016576.0
