,f1,f2,f3,f12,f13,f14,f62,f66,f69,f72,f75,f78,f81,f84,f87,f124,f184,f204,f205,f206
0,2,50617.86,1.19,BK0481,90,汽车零部件,1865287168.0,2703452672.0,2.96,-838165504.0,-0.92,-1330370560.0,-1.46,-388950272.0,-0.43,1757921981,2.04,拓普集团,601689,1
1,2,1688.6,3.49,BK1046,90,游戏,1819116912.0,1524121200.0,5.93,294995712.0,1.15,-718739712.0,-2.8,-1100377088.0,-4.28,1757921981,7.07,星辉娱乐,300043,0
2,2,1850.72,1.25,BK1029,90,汽车整车,1735811584.0,1700435456.0,4.85,35376128.0,0.1,-924319488.0,-2.63,-811492096.0,-2.31,1757921981,4.95,比亚迪,002594,0
3,2,16242.77,1.3,BK0433,90,农牧饲渔,478855600.0,297845424.0,1.19,181010176.0,0.72,-108952832.0,-0.44,-317555200.0,-1.27,1757921981,1.91,温氏股份,300498,0
4,2,11204.43,0.97,BK0437,90,煤炭行业,334358512.0,246630528.0,2.64,87727984.0,0.94,-69544272.0,-0.74,-264814256.0,-2.84,1757921981,3.58,山西焦煤,000983,0
5,2,1371.04,0.59,BK0727,90,医疗服务,252262496.0,135658592.0,0.54,116603904.0,0.46,-83024896.0,-0.33,-169237248.0,-0.67,1757921981,1.0,凯莱英,002821,0
6,2,1325.92,0.09,BK0730,90,农药兽药,144861776.0,43408496.0,0.62,101453280.0,1.44,71341776.0,1.02,-177105520.0,-2.52,1757921981,2.06,亨通股份,600226,1
7,2,2878.4,1.24,BK1034,90,电源设备,54599936.0,-19446272.0,-0.07,74046208.0,0.26,149399808.0,0.52,-203999488.0,-0.71,1757921981,0.19,麦格米特,002851,0
8,2,1146.45,-0.06,BK1016,90,汽车服务,53967986.0,30297826.0,1.5,23670160.0,1.17,71254112.0,3.53,-122642864.0,-6.08,1757921981,2.67,漳州发展,000753,0
9,2,52071.96,0.59,BK0440,90,家用轻工,46689520.0,88443856.0,1.4,-41754336.0,-0.66,-29840944.0,-0.47,-19347312.0,-0.31,1757921981,0.74,共创草坪,605099,1
10,2,1470.79,0.73,BK1043,90,专业服务,25221472.0,19317424.0,0.32,5904048.0,0.1,10307616.0,0.17,-103773552.0,-1.7,1757921981,0.41,安车检测,300572,0
